Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,8779,0,380,700.5725284591839,94.40352418459952,11948.920698836446,105.66738808520333,24.35264038268453,0.0,380,690,960,1200,1800,2400,2900,3300,4100,12000,12000
,Aggregated,8779,0,380,700.5725284591839,94.40352418459952,11948.920698836446,105.66738808520333,24.35264038268453,0.0,380,690,960,1200,1800,2400,2900,3300,4100,12000,12000
