Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3972,0,1300,1688.2582134614681,95.21385398693383,6267.589651048183,105.02492447129909,11.018967788885547,0.0,1300,2300,2900,3200,4000,4500,5300,5800,6100,6300,6300
,Aggregated,3972,0,1300,1688.2582134614681,95.21385398693383,6267.589651048183,105.02492447129909,11.018967788885547,0.0,1300,2300,2900,3200,4000,4500,5300,5800,6100,6300,6300
