Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,29475,0,24,27.498240307940325,11.972618056461215,148.1119019445032,106.28787107718405,96.64442222742521,0.0,24,26,28,30,42,58,68,74,96,130,150
,Aggregated,29475,0,24,27.498240307940325,11.972618056461215,148.1119019445032,106.28787107718405,96.64442222742521,0.0,24,26,28,30,42,58,68,74,96,130,150
