Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2733,0,1600,2489.6049857190164,72.97161899987259,16113.535111999227,106.12294182217343,7.577092479285099,0.0,1600,2900,3900,4400,5800,6600,11000,13000,15000,16000,16000
,Aggregated,2733,0,1600,2489.6049857190164,72.97161899987259,16113.535111999227,106.12294182217343,7.577092479285099,0.0,1600,2900,3900,4400,5800,6600,11000,13000,15000,16000,16000
