Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,18279,0,210,271.7740933382011,16.532061155885458,942.7069248631597,105.66562722249576,50.716338343333554,0.0,210,380,440,490,610,660,700,750,870,940,940
,Aggregated,18279,0,210,271.7740933382011,16.532061155885458,942.7069248631597,105.66562722249576,50.716338343333554,0.0,210,380,440,490,610,660,700,750,870,940,940
